ID;фамилия;имя;отчество;пол;дата рождения;номер полиса ОМС;СНИЛС ВРАЧА;ISHL;ISHOB
167665515;ИваДКА;ИваИЯ;ИваРЕВНА;Ж;01.02.2017;1234567796001143;030-142-240 72;306;314
167665516;ИваДКА;ИваИЯ;ИваРЕВНА;Ж;01.02.2017;1234567796001143;029-475-792 98;306;314
167665517;ИваРОВ;ИваИТА;ИваСИМОВИЧ;М;01.03.2007;1234567726000512;029-475-792 98;302;301
167665518;ИваОДОВНИКОВ;ИваСЛАВ;ИваДИМИРОВИЧ;М;01.11.2017;1234567726000307;034-477-228 56;302;301
167665519;ИваРОВ;ИваМ;ИваКСЕЕВИЧ;М;01.04.2009;1234567724000117;029-790-869 09;302;301
167665520;ИваГОРЕНКО;ИваГАРИТА;ИваИИЛОВНА;Ж;01.12.2001;1234567780000859;029-790-869 09;306;314
167665521;ИваГОРЕНКО;ИваГАРИТА;ИваИИЛОВНА;Ж;01.12.2001;1234567780000859;030-142-240 72;306;314
167665522;ИваЯКОВ;ИваДИМИР;ИваАНОВИЧ;М;01.09.2020;1234567738000024;029-475-792 98;302;301
167665523;ИваЯКОВ;ИваОЛАЙ;ИваАНОВИЧ;М;01.09.2020;1234567738000099;029-475-792 98;302;301
167665524;ИваАТРЯН;ИваЕН;ИваАТУРОВИЧ;М;01.10.2001;1234567726000506;034-477-091 57;306;314
167665525;ИваРОВ;ИваИИЛ;ИваСИМОВИЧ;М;01.10.2009;1234567723000369;110-147-456 99;306;314
167665526;ИваСЕЕНКО;ИваНА;ИваКСЕЕВНА;Ж;01.03.2023;1234567792000225;110-147-456 99;302;301
167665527;ИваДКА;ИваИЯ;ИваРЕВНА;Ж;01.02.2017;1234567796001143;034-477-228 56;302;301
167665528;ИваЕЙНОВА;ИваЕРИЯ;ИваЕНЬЕВНА;Ж;01.11.2011;1234567787000011;029-790-869 09;306;314
167665529;ИваДАРЕНКО;ИваР;ИваГЕЕВИЧ;М;01.07.2010;1234567721000668;110-147-456 99;302;301
167665530;ИваЦУН;ИваТОРИЯ;ИваЕВНА;Ж;01.12.2006;1234567770000748;011-400-846 77;302;301
167665531;ИваИЛИН;ИваОЛАЙ;ИваГОВИЧ;М;01.04.2021;1234567724000126;024-406-782 30;301;301
167665532;ИваЕНУХА;ИваНА;ИваРЕЕВНА;Ж;01.02.2013;1234567780000029;013-358-824 35;301;301
167665533;ИваНА;ИваЕРИЯ;ИваСИМОВНА;Ж;01.04.2001;1234567778000766;024-406-782 30;302;301
167665534;ИваИЛЬЕВА;ИваЬЯНА;ИваЕВНА;Ж;01.12.2006;1234567796000133;029-790-869 09;306;314
167665535;ИваЦЕНКО;ИваКСАНДР;ИваКСАНДРОВИЧ;М;01.03.2019;1234567740000162;013-358-824 35;301;301
167665536;ИваЧЕТНОВА;ИваИЯ;ИваЕНЬЕВНА;Ж;01.09.2017;1234567775000444;013-358-824 35;301;301
167665537;ИваАНИН;ИваН;ИваГОВИЧ;М;01.04.2006;1234567732000612;116-738-181 67;302;301
167665538;ИваЕНКО;ИваНА;ИваРЕЕВНА;Ж;01.05.0109;1234567779000621;057-659-062 99;301;301
167665539;ИваАЛОВ;ИваИБОР;ИваГОВИЧ;М;01.11.2001;1234567737000527;013-358-824 35;301;301
167665540;ИваЬЧЕНКО;ИваДИСЛАВ;ИваТРИЕВИЧ;М;01.02.2011;1234567731000520;030-142-240 72;306;314
167665541;ИваРИК;ИваГ;ИваИМОВИЧ;М;01.10.2016;1234567745000293;030-142-240 72;306;314
167665542;ИваМИДОНТОВА;ИваЕРИНА;ИваГЕЕВНА;Ж;01.04.2009;1234567785000028;024-406-782 30;301;301
167665543;ИваУГИНА;ИваИЯ;ИваТОРОВНА;Ж;01.05.2017;1234567774000144;024-406-782 30;306;314
167665544;ИваАН;ИваЁМ;ИваОНОВИЧ;М;01.08.2015;1234567719000075;057-659-062 99;301;301
167665545;ИваКИНА;ИваЕРИЯ;ИваСИМОВНА;Ж;01.08.2019;1234567784000347;013-358-824 35;301;301
167665546;ИваДАКОВ;ИваУР;ИваЕРЬЕВИЧ;М;01.05.2018;1234567718000053;057-659-062 99;306;314
167665547;ИваГУЗИН;ИваН;ИваТАМОВИЧ;М;01.08.2020;1234567724000912;057-659-062 99;301;301
167665548;ИваГУЗИНА;ИваПАН;ИваТАМОВНА;Ж;01.05.2001;1234567785000318;057-659-062 99;301;301
167665549;ИваЕЛА;ИваИТА;ИваИСОВИЧ;М;01.12.2017;1234567742000035;057-659-062 99;306;314
167665550;ИваОЕВ;ИваЁМ;ИваДИМИРОВИЧ;М;01.05.2015;1234567737000294;024-406-782 30;306;314
167665551;ИваАБУТ;ИваСИМ;ИваКСАНДРОВИЧ;М;01.06.2015;1234567725000646;057-659-062 99;301;301
167665552;Ива;ИваГЕЙ;ИваГЕЕВИЧ;М;01.05.2001;1234567731001005;057-659-062 99;301;301
167665553;ИваОМОВ;ИваТРИЙ;ИваСИМОВИЧ;М;01.07.2010;1234567719000677;161-367-263 60;301;301
167665554;ИваОВАЯ;ИваНИЯ;ИваАЛЬЕВНА;Ж;01.08.2017;1234567768000194;013-358-824 35;301;301
167665555;ИваОШИЛОВ;ИваР;ИваИСОВИЧ;М;01.10.2001;1234567742000537;013-358-824 35;302;301
167665556;ИваИЩЕВ;ИваНИСЛАВ;ИваГЕЕВИЧ;М;01.02.2013;1234567725000043;029-475-792 98;304;305
167665557;ИваЕПЯН;ИваДАН;ИваАБОВИЧ;М;01.08.2017;1234567719000731;057-659-062 99;301;301
167665558;ИваДЧУК;ИваТРИЙ;ИваАНОВИЧ;М;01.08.2017;1234567733000238;034-477-228 56;302;301
167665559;ИваАВЦЕВА;ИваЕЛИНА;ИваИСОВНА;Ж;01.01.2008;1234567797000103;057-659-062 99;301;301
167665560;ИваУГИНА;ИваИЯ;ИваТОРОВНА;Ж;01.05.2017;1234567774000144;034-477-228 56;302;301
167665561;ИваДЧУК;ИваТРИЙ;ИваАНОВИЧ;М;01.08.2017;1234567733000238;030-142-240 72;306;314
167665562;ИваДЧУК;ИваТРИЙ;ИваАНОВИЧ;М;01.08.2017;1234567733000238;029-475-792 98;302;301
167665563;ИваШНЕВА;ИваИЯ;ИваКСЕЕВНА;Ж;01.02.2020;1234567782000533;114-977-203 70;302;301
167665564;ИваМОВ;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.07.2017;1234567745000100;034-477-228 56;302;301
167665565;ИваУГИНА;ИваИЯ;ИваТОРОВНА;Ж;01.05.2017;1234567774000144;030-142-240 72;306;314
167665566;ИваХОВ;ИваРАН;ИваЕНЬЕВИЧ;М;01.05.2016;1234567726000273;030-142-240 72;306;314
167665567;ИваАНОВ;ИваСЛАВ;ИваРЕВИЧ;М;01.09.2011;1234567736000187;057-659-062 99;306;314
167665568;ИваМОВ;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.07.2017;1234567745000100;029-475-792 98;302;301
167665569;ИваЕВАТЫЙ;ИваАН;ИваКСАНДРОВИЧ;М;01.03.2023;1234567718000234;114-977-203 70;302;301
167665570;ИваЯГИН;ИваИТА;ИваКСАНДРОВИЧ;М;01.07.2006;1234567746000692;034-477-228 56;302;301
167665571;ИваЛЕР;ИваОФЕЙ;ИваИСОВИЧ;М;01.03.2017;1234567718000125;114-977-203 70;302;301
167665572;ИваАРЕВ;ИваЁМ;ИваДИМИРОВИЧ;М;01.07.2023;1234567745000045;145-870-841 91;302;301
167665573;ИваРИЕНКО;ИваКСЕЙ;ИваКСАНДРОВИЧ;М;01.04.2017;1234567727000356;024-406-782 30;301;301
167665574;ИваОВА;ИваА;ИваДИМИРОВНА;Ж;01.08.2018;1234567769000096;114-977-203 70;302;301
167665575;ИваСАМИДЗЕ;ИваАР;ИваГИЗОВИЧ;М;01.10.2016;1234567741000081;034-477-091 57;301;301
167665576;ИваЬЯНЕНКО;ИваЬЯ;ИваНОВНА;Ж;01.02.2013;1234567792000106;161-367-263 60;301;301
167665577;ИваЧЕВ;ИваИЛЛ;ИваГЕЕВИЧ;М;01.08.2013;1234567740000321;114-977-203 70;302;301
167665578;ИваЕЛОВСКИЙ;ИваЁМ;ИваЕВИЧ;М;01.05.2014;1234567719000371;034-477-228 56;302;301
167665579;ИваОХНЯ;ИваТЕРИНА;ИваОЛАЕВНА;Ж;01.07.2015;1234567791000075;034-477-228 56;302;301
167665580;ИваРАМУКОВ;ИваИСЛАМ;ИваУРОВИЧ;М;01.11.2010;1234567733000316;030-142-240 72;302;301
167665581;ИваПКИНА;ИваСТАСИЯ;ИваИСОВНА;Ж;01.08.2018;1234567775000053;114-977-203 70;302;301
167665582;ИваИКОВА;ИваАНА;ИваГЕЕВНА;Ж;01.06.2023;1234567790000063;114-977-203 70;302;301
167665583;ИваАСОВ;ИваСЛАВ;ИваГЕЕВИЧ;М;01.06.2009;1234567738000382;145-870-841 91;302;301
167665584;ИваИНА;ИваАНА;ИваКСАНДРОВНА;Ж;01.08.2021;1234567776000564;145-870-841 91;302;301
167665585;ИваИН;ИваСЛАВ;ИваКСАНДРОВИЧ;М;01.07.2012;1234567732000153;145-870-841 91;302;301
167665586;ИваАМЕСТНЫЙ;ИваИЛ;ИваГЕЕВИЧ;М;01.11.2010;1234567742000195;034-477-228 56;302;301
167665587;ИваИМУЛИН;ИваАИЛ;ИваГЕЕВИЧ;М;01.10.2001;1234567735000092;024-406-782 30;301;301
167665588;ИваЫШНИКОВА;ИваА;ИваКСАНДРОВНА;Ж;01.11.2007;1234567771000763;024-406-782 30;301;301
167665589;ИваАЧЕВ;ИваКСАНДР;ИваНАДЬЕВИЧ;М;01.07.2012;1234567727000085;161-367-263 60;301;301
167665590;ИваЕБЕТОВА;ИваОСЛАВА;ИваАЛЬЕВНА;Ж;01.04.2014;1234567770000025;034-477-228 56;302;301
167665591;ИваЛАКОВ;ИваР;ИваКСЕЕВИЧ;М;01.09.2011;1234567727001026;114-977-203 70;302;301
167665592;ИваЕНКО;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.01.2017;1234567723000332;057-659-062 99;301;301
167665593;ИваАЕВ;ИваЁМ;ИваГЕЕВИЧ;М;01.01.2009;1234567747000422;013-358-824 35;301;301
167665594;ИваИТОНОВА;ИваЬЯНА;ИваТОРОВНА;Ж;01.11.2011;1234567794000014;169-539-717 29;301;301
167665595;ИваЧЕНКО;ИваЁМ;ИваЕНЬЕВИЧ;М;01.12.2013;1234567722000188;024-406-782 30;301;301
167665596;ИваОНЯН;ИваЕЛИНА;ИваУРОВНА;Ж;01.03.2009;1234567793000076;030-142-240 72;302;301
167665597;ИваЖКИН;ИваИТА;ИваКСАНДРОВИЧ;М;01.12.2008;1234567724000384;114-977-203 70;302;301
167665598;ИваЖКИН;ИваАН;ИваКСАНДРОВИЧ;М;01.07.2001;1234567734000158;114-977-203 70;302;301
167665599;ИваДРЫКИН;ИваР;ИваКСЕЕВИЧ;М;01.10.2001;1234567737000526;114-977-203 70;302;301
167665600;ИваЬЯНЕНКО;ИваАИЛ;ИваНОВИЧ;М;01.06.2016;1234567738000062;161-367-263 60;301;301
167665601;ИваЫЛКОВА;ИваГАРИТА;ИваТРИЕВНА;Ж;01.02.2017;1234567776000602;030-142-240 72;306;314
167665602;ИваЬКОВ;ИваКСАНДР;ИваРЕЕВИЧ;М;01.02.2013;1234567743000132;030-142-240 72;306;314
167665603;ИваХА;ИваГАРИТА;ИваЛОВНА;Ж;01.01.2012;1234567768000162;034-477-228 56;302;301
167665604;ИваЬКОВ;ИваКСАНДР;ИваРЕЕВИЧ;М;01.02.2013;1234567743000132;029-475-792 98;302;301
167665605;ИваРОСТЬЯН;ИваСИМ;ИваЕНЬЕВИЧ;М;01.06.2007;1234567748000626;030-142-240 72;302;301
167665606;ИваФЕЕВ;ИваИС;ИваАНОВИЧ;М;01.01.2010;1234567732000146;013-358-824 35;306;314
167665607;ИваЫЛКОВА;ИваГАРИТА;ИваТРИЕВНА;Ж;01.02.2017;1234567776000602;114-977-203 70;306;314
167665608;ИваЮЧАЯ;ИваЕНИЯ;ИваГЕЕВНА;Ж;01.01.2021;1234567787000291;145-870-841 91;302;301
167665609;ИваКОВ;ИваСИМ;ИваКСАНДРОВИЧ;М;01.12.2012;1234567723000033;145-870-841 91;302;301
167665610;ИваНЫШ;ИваСИМ;ИваЕНЬЕВИЧ;М;01.08.2009;1234567734000032;013-358-824 35;302;301
167665611;ИваБЕНКО;ИваАНА;ИваИСОВНА;Ж;01.09.2022;1234567773000149;034-477-091 57;302;301
167665612;ИваНИКОВА;Ива;ИваКСЕЕВНА;Ж;01.05.2022;1234567778000256;030-142-240 72;306;314
167665613;ИваЬ;ИваАЛИЙ;ИваГЕЕВИЧ;М;01.10.2009;1234567738000461;013-358-824 35;301;301
167665614;ИваХА;ИваГАРИТА;ИваЛОВНА;Ж;01.01.2012;1234567768000162;024-406-782 30;301;301
167665615;ИваЬКОВ;ИваКСАНДР;ИваРЕЕВИЧ;М;01.02.2013;1234567743000132;034-477-091 57;306;314
167665616;ИваНОВА;ИваА;ИваИНИЧНА;Ж;01.08.2015;1234567792000034;145-870-841 91;302;301
167665617;ИваЬКОВ;ИваКСАНДР;ИваРЕЕВИЧ;М;01.02.2013;1234567743000132;034-477-228 56;306;314
167665618;ИваАТОВА;ИваИЯ;ИваТРИЕВНА;Ж;01.12.2014;1234567795000273;034-477-091 57;302;301
167665619;ИваОНОС;ИваЕРИЯ;ИваЛАНОВНА;Ж;01.08.2020;1234567796000915;161-367-263 60;301;301
167665620;ИваНИКОВА;Ива;ИваКСЕЕВНА;Ж;01.05.2022;1234567778000256;034-477-228 56;306;314
167665621;ИваНИКОВА;Ива;ИваКСЕЕВНА;Ж;01.05.2022;1234567778000256;029-475-792 98;306;314
167665622;ИваЕМЯЧЕНКО;ИваЕЛ;ИваКСЕЕВИЧ;М;01.04.0115;1234567729000020;145-870-841 91;306;314
167665623;ИваНИКОВА;Ива;ИваКСЕЕВНА;Ж;01.05.2022;1234567778000256;029-790-869 09;306;314
167665624;ИваАРЬ;ИваСИЯ;ИваАТОВНА;Ж;01.07.2022;1234567798000189;024-406-782 30;302;301
167665625;ИваНИКОВА;Ива;ИваКСЕЕВНА;Ж;01.05.2022;1234567778000256;116-738-181 67;306;314
167665626;ИваИН;ИваРЕЙ;ИваРЕЕВИЧ;М;01.04.2008;1234567728000752;029-790-869 09;306;314
167665627;ИваРКО;ИваИваА;ИваКСАНДРОВНА;Ж;01.12.2008;1234567788000858;024-406-782 30;301;301
167665628;ИваНЫШ;ИваСИМ;ИваЕНЬЕВИЧ;М;01.08.2009;1234567734000032;029-475-792 98;302;301
167665629;ИваАРЕВЦЕВ;ИваОН;ИваЕВИЧ;М;01.12.2008;1234567744000158;029-790-869 09;306;314
167665630;ИваИНКИН;ИваТРИЙ;ИваТОЛЬЕВИЧ;М;01.01.2021;1234567743000229;110-147-456 99;302;301
167665631;ИваШИН;ИваКСАНДР;ИваЕВИЧ;М;01.11.2007;1234567747000332;013-358-824 35;306;314
167665632;ИваЮТИНА;ИваТОРИЯ;ИваКСАНДРОВНА;Ж;01.10.2013;1234567793000222;161-367-263 60;301;301
167665633;ИваМОВ;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.07.2017;1234567745000100;030-142-240 72;306;314
167665634;ИваИН;ИваДАН;ИваАЛЬЕВИЧ;М;01.01.2013;1234567743000248;030-142-240 72;306;314
167665635;ИваЕРИЦКИЙ;ИваИЛЛ;ИваАЛЬЕВИЧ;М;01.02.2022;1234567734000082;123-923-957 65;302;301
167665636;ИваХОВ;ИваРАН;ИваЕНЬЕВИЧ;М;01.05.2016;1234567726000273;034-477-228 56;302;301
167665637;ИваУГИНА;ИваИЯ;ИваТОРОВНА;Ж;01.05.2017;1234567774000144;029-790-869 09;306;314
167665638;ИваАНОВ;ИваСЛАВ;ИваРЕВИЧ;М;01.09.2011;1234567736000187;034-477-228 56;302;301
167665639;ИваДЧУК;ИваТРИЙ;ИваАНОВИЧ;М;01.08.2017;1234567733000238;029-790-869 09;306;314
167665640;ИваХОВ;ИваРАН;ИваЕНЬЕВИЧ;М;01.05.2016;1234567726000273;029-790-869 09;306;314
167665641;ИваУТКИН;ИваИТА;ИваКСАНДРОВИЧ;М;01.05.2009;1234567719000806;029-790-869 09;306;314
167665642;ИваШНЕВА;ИваИЯ;ИваКСЕЕВНА;Ж;01.02.2020;1234567782000533;029-790-869 09;302;301
167665643;ИваОСТЕЛЕВА;ИваА;ИваКСАНДРОВНА;Ж;01.01.2019;1234567788000395;161-367-263 60;306;314
167665644;ИваОСТЕЛЕВ;ИваГЕЙ;ИваКСАНДРОВИЧ;М;01.11.2015;1234567731000221;161-367-263 60;306;314
167665645;ИваБЕННИКОВА;ИваКСАНДРА;ИваГОВНА;Ж;01.09.2011;1234567786000281;029-475-792 98;304;305
167665646;ИваАЕВ;ИваЁМ;ИваГЕЕВИЧ;М;01.01.2009;1234567747000422;013-358-824 35;301;301
167665647;ИваВЧЕНКО;ИваТРИЙ;ИваРЕЕВИЧ;М;01.03.2008;1234567737000016;110-147-456 99;302;301
167665648;ИваОЖКО;ИваОНИКА;ИваКСЕЕВНА;Ж;01.06.2019;1234567794001010;034-477-228 56;302;301
167665649;ИваЕВ;ИваГЕЙ;ИваОЛАЕВИЧ;М;01.12.2019;1234567725000444;057-659-062 99;301;301
167665650;ИваАЕВ;ИваИИЛ;ИваАЙЛОВИЧ;М;01.12.2023;1234567746000488;029-475-792 98;306;314
167665651;ИваХОВ;ИваРАН;ИваЕНЬЕВИЧ;М;01.05.2016;1234567726000273;029-475-792 98;302;301
167665652;ИваТЬЯКОВ;ИваСТАНТИН;ИваКСАНДРОВИЧ;М;01.04.2010;1234567731000116;123-923-957 65;302;301
167665653;ИваНОСОВА;ИваОНИКА;ИваРЕЕВНА;Ж;01.03.2011;1234567785000146;030-142-240 72;302;301
167665654;ИваДАРЕНКО;ИваТОРИЯ;ИваОНОВНА;Ж;01.07.2017;1234567775000913;024-406-782 30;301;301
167665655;ИваБНЯ;ИваАИЛ;ИваКСЕЕВИЧ;М;01.02.2017;1234567742001213;057-659-062 99;306;314
167665656;ИваИПОВ;ИваОН;ИваКСАНДРОВИЧ;М;01.09.2009;1234567747000046;116-738-181 67;302;301
167665657;ИваДУС;ИваИЯ;ИваКСАНДРОВНА;Ж;01.12.2007;1234567774000662;029-790-869 09;306;314
167665658;ИваАТЮК;ИваИИЛ;ИваЕВИЧ;М;01.02.2020;1234567727000111;145-870-841 91;302;301
167665659;ИваТЫРЯ;ИваСТАНТИН;ИваТРИЕВИЧ;М;01.07.2019;1234567747000714;145-870-841 91;302;301
167665660;ИваЕВ;ИваДИМИР;ИваДИМИРОВИЧ;М;01.11.2001;1234567742000428;013-358-824 35;301;301
167665661;ИваЁВКИН;ИваИЛЛ;ИваГЕЕВИЧ;М;01.04.2012;1234567720000709;024-406-782 30;301;301
167665662;ИваАЛКО;ИваЕНИЙ;ИваДИМИРОВИЧ;М;01.04.2009;1234567733000161;034-477-228 56;302;301
167665663;ИваОНОВА;ИваНА;ИваКСАНДРОВНА;Ж;01.11.2017;1234567781000259;110-147-456 99;302;301
167665664;ИваАН;ИваЁМ;ИваОНОВИЧ;М;01.08.2015;1234567719000075;116-738-181 67;302;301
167665665;ИваАЛЁВА;ИваНА;ИваКСАНДРОВНА;Ж;01.03.2019;1234567792000904;030-142-240 72;306;314
167665666;ИваАЛЁВА;ИваНА;ИваКСАНДРОВНА;Ж;01.03.2019;1234567792000904;029-790-869 09;306;314
167665667;ИваЧЕНКО;ИваКСАНДР;ИваТРИЕВИЧ;М;01.08.2023;1234567734000320;034-477-228 56;302;301
167665668;ИваУЛИНА;Ива;ИваГЕЕВНА;Ж;01.07.2022;1234567771000057;057-659-062 99;301;301
167665669;ИваДНИК;ИваОФЕЙ;ИваОЛАЕВИЧ;М;01.08.2019;1234567733000638;024-406-782 30;306;314
167665670;ИваНОВА;ИваИЯ;ИваГЕЕВНА;Ж;01.07.2017;1234567781000659;024-406-782 30;306;314
167665671;ИваРОВ;ИваМ;ИваКСЕЕВИЧ;М;01.04.2009;1234567724000117;013-358-824 35;301;301
167665672;ИваСИМОВ;ИваАИЛ;ИваКСЕЕВИЧ;М;01.02.2024;1234567731000121;057-659-062 99;306;314
167665673;ИваСЕНКО;ИваСЕЙ;ИваНИСЛАВОВИЧ;М;01.02.0124;1234567729000265;057-659-062 99;306;314
167665674;ИваЕВАТЫЙ;ИваАН;ИваКСАНДРОВИЧ;М;01.03.2023;1234567718000234;029-790-869 09;306;314
167665675;ИваШКО;ИваЕНИЙ;ИваЕРЬЕВИЧ;М;01.04.2014;1234567720000216;029-475-792 98;302;301
167665676;ИваЧКО;ИваИЛ;ИваИТИЧ;М;01.11.2022;1234567736000222;024-406-782 30;306;314
167665677;ИваШКО;ИваЕМ;ИваЕРЬЕВИЧ;М;01.04.2009;1234567743000730;030-142-240 72;302;301
167665678;ИваУРАЛИМОВ;ИваИЛЬ;ИваИЛЬЕВИЧ;М;01.04.2001;1234567743001497;114-977-203 70;306;314
167665679;ИваИЛЬЕВА;ИваА;ИваДИМИРОВНА;Ж;01.07.2006;1234567785000967;114-977-203 70;306;314
167665680;ИваЖКИНА;ИваИЯ;ИваГЕЕВНА;Ж;01.08.0106;1234567779000701;114-977-203 70;306;314
167665681;ИваСЕЕВА;ИваА;ИваНОВНА;Ж;01.07.2006;1234567771000849;114-977-203 70;306;314
167665682;ИваИПОВА;ИваАНИКА;ИваКСАНДРОВНА;Ж;01.12.2014;1234567777000218;114-977-203 70;306;314
167665683;ИваЕЛЬЕВ;ИваИЛ;ИваАНОВИЧ;М;01.01.2009;1234567741000747;029-790-869 09;306;314
167665684;ИваИРОВ;ИваИЛЛ;ИваИЛОВИЧ;М;01.04.2014;1234567738000091;114-977-203 70;306;314
167665685;ИваЬКОВ;ИваИЛЛ;ИваТРИЕВИЧ;М;01.02.2014;1234567733000201;114-977-203 70;306;314
167665686;ИваТАНОВ;ИваСИ;ИваАГИМОВИЧ;М;01.10.2021;1234567722000977;057-659-062 99;306;314
167665687;ИваУЕВА;ИваИваА;ИваДАНОВНА;Ж;01.04.2014;1234567791000012;114-977-203 70;306;314
167665688;ИваИЛЬЦОВ;ИваИЛЛ;ИваТРИЕВИЧ;М;01.05.0114;1234567729000097;114-977-203 70;306;314
167665689;ИваЯТКОВА;Ива;ИваЛОВНА;Ж;01.11.2013;1234567784000282;114-977-203 70;306;314
167665690;ИваИЛЬСКАЯ;ИваИваА;ИваАЙЛОВНА;Ж;01.07.2014;1234567777000799;114-977-203 70;306;314
167665691;ИваЩУКОВ;ИваНИД;ИваТРИЕВИЧ;М;01.03.2014;1234567722000072;114-977-203 70;306;314
167665692;ИваЫЛЯЧЕНКО;ИваНА;ИваЕМОВНА;Ж;01.09.2014;1234567780000330;114-977-203 70;306;314
167665693;ИваУЛИНА;Ива;ИваГЕЕВНА;Ж;01.07.2022;1234567771000057;057-659-062 99;306;314
167665694;ИваЦ;ИваНА;ИваКСЕЕВНА;Ж;01.10.2014;1234567777000315;114-977-203 70;306;314
167665695;ИваЫНИН;ИваЕЛ;ИваТРИЕВИЧ;М;01.10.2021;1234567725000487;161-367-263 60;306;314
167665696;ИваАНОВА;ИваЬЯ;ИваЕВНА;Ж;01.08.2014;1234567773000364;114-977-203 70;306;314
167665697;ИваОВ;ИваЁН;ИваГЕЕВИЧ;М;01.08.2015;1234567738000437;034-477-228 56;304;305
167665698;ИваШИНА;ИваИНА;ИваТРИЕВНА;Ж;01.10.2019;1234567795000348;114-977-203 70;306;314
167665699;ИваНЫШ;ИваСИМ;ИваЕНЬЕВИЧ;М;01.08.2009;1234567734000032;030-142-240 72;302;301
167665700;ИваИРОВ;ИваДАН;ИваИЕВИЧ;М;01.02.2018;1234567741000986;114-977-203 70;306;314
167665701;ИваРОВ;ИваЕЛ;ИваДИСЛАВОВИЧ;М;01.01.2018;1234567744000282;034-477-091 57;301;301
167665702;ИваОНОВ;ИваДИМИР;ИваОНОВИЧ;М;01.04.0121;1234567729000064;145-870-841 91;302;301
167665703;ИваНИКОВА;ИваНИЯ;ИваГЕЕВНА;Ж;01.01.2021;1234567783000022;161-367-263 60;301;301
167665704;ИваЩЕНКО;ИваЙ;ИваНИСЛАВОВИЧ;М;01.02.2022;1234567721000020;161-367-263 60;306;314
167665705;ИваК;ИваИНА;ИваАНОВНА;Ж;01.01.2015;1234567794000625;114-977-203 70;302;301
167665706;ИваШИНА;ИваИНА;ИваОНОВНА;Ж;01.07.2011;1234567787000452;114-977-203 70;302;301
167665707;ИваЧЕТНОВА;ИваИЯ;ИваЕНЬЕВНА;Ж;01.09.2017;1234567775000444;114-977-203 70;302;301
167665708;ИваОНДОВА;ИваА;ИваКСЕЕВНА;Ж;01.08.2021;1234567784000226;161-367-263 60;301;301
167665709;ИваОНЯН;ИваЕЛИНА;ИваУРОВНА;Ж;01.03.2009;1234567793000076;034-477-228 56;302;301
167665710;ИваИН;ИваЁН;ИваТОРОВИЧ;М;01.11.2017;1234567748000160;161-367-263 60;306;314
167665711;ИваЕНКО;ИваБ;ИваГЕЕВИЧ;М;01.03.2013;1234567723000467;030-142-240 72;302;301
167665712;ИваЬНИКОВ;ИваВЕЙ;ИваКСАНДРОВИЧ;М;01.05.2020;1234567734000768;114-977-203 70;306;314
167665713;ИваЧУКОВА;ИваЗАВЕТА;ИваКСАНДРОВНА;Ж;01.08.2023;1234567782000040;110-147-456 99;302;301
167665714;ИваОКИТИН;ИваАР;ИваОЛАЕВИЧ;М;01.01.2009;1234567724000078;034-477-228 56;302;301
167665715;ИваРКО;ИваОФЕЙ;ИваКСАНДРОВИЧ;М;01.08.2010;1234567740000473;024-406-782 30;301;301
167665716;ИваАН;ИваЁМ;ИваОНОВИЧ;М;01.08.2015;1234567719000075;057-659-062 99;301;301
167665717;ИваЮНА;ИваДА;ИваУРОВНА;Ж;01.12.2011;1234567784000288;057-659-062 99;306;314
167665718;ИваИСЕНКО;ИваЁМ;ИваКСАНДРОВИЧ;М;01.09.2023;1234567721000094;034-477-091 57;304;305
167665719;ИваАВИШНИКОВА;ИваГАРИТА;ИваОНОВНА;Ж;01.07.2012;1234567789000688;161-367-263 60;301;301
167665720;ИваАВЦЕВ;ИваИС;ИваИСОВИЧ;М;01.01.2010;1234567721000263;029-475-792 98;304;305
167665721;ИваЕНОВ;ИваЕНИЙ;ИваГОВИЧ;М;01.10.2019;1234567732000245;110-147-456 99;302;301
167665722;ИваОНОВСКАЯ;ИваНА;ИваЕНЬЕВНА;Ж;01.04.2009;1234567775000079;011-400-846 77;306;314
167665723;ИваЕЛЬ;ИваСА;ИваГЕЕВНА;Ж;01.02.2010;1234567787000653;110-147-456 99;302;301
167665724;ИваШИН;ИваИЭЛЬ;ИваНИСЛАВОВИЧ;М;01.12.2023;1234567748000080;029-475-792 98;302;301
167665725;ИваОВСКИЙ;ИваДИМИР;ИваКСАНДРОВИЧ;М;01.05.2016;1234567747000179;114-977-203 70;302;301
167665726;ИваЕБЕТОВА;ИваОСЛАВА;ИваАЛЬЕВНА;Ж;01.04.2014;1234567770000025;029-790-869 09;306;314
167665727;ИваЛОВ;ИваРЬ;ИваЕРЬЕВИЧ;М;01.12.2001;1234567740000360;034-477-228 56;302;301
167665728;ИваЫЛОВА;ИваТОРИЯ;ИваОЛАЕВНА;Ж;01.08.2009;1234567794000112;029-475-792 98;302;301
167665729;ИваЧЕНКО;ИваАИЛ;ИваОЛАЕВИЧ;М;01.02.2024;1234567743000192;029-790-869 09;306;314
167665730;ИваМИДИ;ИваКСИЯ;ИваЛОВНА;Ж;01.05.2015;1234567770000250;161-367-263 60;302;301
